Intervals:                               Run 1 Increments 0.0   Run 1 Increments 50.0   Run 1 Increments 100.0   Run 1 Increments 150.0   Run 1 Increments 200.0   Run 1 Increments 250.0   Run 1 Totals       
collision sector Five                   0.0                    12.0                    14.0                     21.0                     19.0                     9.0                      75.0                
Average collision sector Five           0.0                    0.12                    0.14                     0.21                     0.19                     0.09                     0.7499999999999999  
collision sector Six                    0.0                    23.0                    23.0                     7.0                      9.0                      11.0                     73.0                
Average collision sector Six            0.0                    0.23                    0.23                     0.07                     0.09                     0.11                     0.73                
collision sector Seven                  0.0                    17.0                    24.0                     24.0                     13.0                     24.0                     102.0               
Average collision sector Seven          0.0                    0.17                    0.24                     0.24                     0.13                     0.24                     1.02                
collision sector Eight                  0.0                    25.0                    19.0                     6.0                      33.0                     21.0                     104.0               
Average collision sector Eight          0.0                    0.25                    0.19                     0.06                     0.33                     0.21                     1.04                
bounce sect One                         0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average bounce sect One                 0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
bounce sect Two                         0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average bounce sect Two                 0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
bounce sect Three                       0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average bounce sect Three               0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
bounce sect Four                        0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average bounce sect Four                0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
bounce sect Five                        0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average bounce sect Five                0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
bounce sect Six                         0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
Average bounce sect Six                 0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
bounce sect Seven                       0.0                    0.0                     0.0                      0.0                      0.0                      0.0                      0.0                 
